Year,School.Name,Medical,Competition.Guarantees,Recruiting,Game.Expenses.and.Travel,Other.Expenses,Facilities.and.Equipment,Coaches.Compensation,Athletic.Student.Aid,Corporate.Sponsorship..Advertising..Licensing,Donor.Contributions,NCAA.Conference.Distributions..Media.Rights..and.Post.Season.Football,Ticket.Sales,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,NCAA Subdivision,quantiles,Total.Points
2015,University of Virginia,1421319.733,1917388.0780000002,1263340.525,9860903.603,6074547.698,21133363.3,20549077.89,15405549.44,5188079.496,28112373.38,26788874.36,12521432.21,15788,15192,44365,Football Bowl Subdivision,3,95
2015,Texas Tech University,977387.9398,1920587.9440000001,1672395.804,7884925.573,5916089.522000001,25492453.7,13873694.58,6018354.607999999,10919240.05,24537699.75,24586267.85,11799275.11,28868,8028,17388,Football Bowl Subdivision,1,15
2015,University of Maryland-College Park,1183201.095,1407896.4980000001,884843.9663,9457022.791000001,9858330.546,27056431.77,15443215.71,14109518.63,7828610.969,11217309.6,38216692.62,16212840.19,26889,9996,31144,Football Bowl Subdivision,3,91
2015,Clemson University,776436.3532,1576343.116,1734719.27,8416533.695,12636943.33,13419188.04,15888054.8,13152253.4,8207152.082,20222631.81,25358178.82,22165931.71,17740,14272,33190,Football Bowl Subdivision,3,72
2015,North Dakota State University,260789.0814,339373.133,434904.3232,5257424.441000001,2389516.159,2528155.418,4277149.533,3545921.414,1770506.126,4118481.7460000003,1013814.7690000001,4554810.82,11719,8098,19392,Football Championship Subdivision,2,60
2015,Pennsylvania State University,2831484.49,2444454.6180000002,2022956.3159999999,14618585.93,22032992.47,19897433.27,23974192.21,15949026.43,7695223.136,28049652.97,35980385.23,37504660.65,40179,17514,31346,Football Bowl Subdivision,3,112
2015,University of Florida,2314910.675,2927524.014,1837549.395,15887364.2,8406161.472000001,21322180.71,25780730.24,11793033.34,11170389.03,58819069.54,43817070.8,24604880.74,32376,6381,28659,Football Bowl Subdivision,3,118
2015,The Ohio State University,1306303.789,2398421.103,1907751.013,14554178.5,11833504.56,49467931.93,28464153.08,18053835.52,17322364.37,33366777.19,34364414.41,63946627.01,44131,10037,27365,Football Bowl Subdivision,3,108
2015,Michigan State University,1390063.32,3929142.838,1547815.7030000002,11696806.48,11455323.94,30479415.54,20467007.4,12792236.06,11416572.14,26724896.28,35321003.22,25613428.89,38853,13560,36360,Football Bowl Subdivision,2,27
2015,University of Michigan,720854.8828,4012360.62,2242125.874,12952755.93,14210758.95,39004710.26,25071016.16,20908433.98,22490120.67,36163617.05,32679187.75,47006925.1,28120,13856,43476,Football Bowl Subdivision,2,49
2015,The University of Texas at Austin,2049480.775,2210965.66,1368477.389,34223495.75,25574897.85,36186578.12,24057149.75,10774375.23,33306673.38,44831894.13,25560035.68,64086736.59,39057,9806,34676,Football Bowl Subdivision,3,105
2015,The University of Alabama,3025281.9460000005,3626911.441,2202192.356,10522532.61,15987657.72,34262037.93,25461091.98,14422128.33,11322104.2,29724926.63,45909474.33,39730599.86,31005,10170,25950,Football Bowl Subdivision,3,90
2015,University of Oklahoma,1532230.533,1907312.55,2538626.878,18484591.16,15946874.62,28743757.58,24568458.97,12217651.51,21140532.62,32552655.32,31944819.51,39758770.84,20689,10090,23476,Football Bowl Subdivision,3,153
2015,Indiana University-Bloomington,1601829.644,3580808.055,1776887.631,8453037.484,9229915.337000001,17395564.35,15911773.31,13901180.02,8940518.846,19735644.6,35274427.95,16045016.33,32694,10388,33741,Football Bowl Subdivision,1,12
2015,University of Akron,394785.4966,917114.0077,449637.8836,2772699.103,3579678.988,7925724.877,5978180.087,7212722.83,919880.4741,2317437.152,2702676.7189999996,1082145.0729999999,17240,10509,19040,Football Bowl Subdivision,2,30
2015,University of Louisville,969052.0863,1692688.625,1666961.094,9477735.848,12252815.61,24300990.68,21185696.3,13156161.08,6860386.19,29533986.77,22821523.5,29959814.01,14844,10744,25050,Football Bowl Subdivision,1,10
2015,University of Kentucky,843333.8055,3123848.959,2285927.585,13759098.88,10582526.05,31605209.42,25465516.1,12313777.11,7506125.23,24543865.57,45649931.78,32082419.82,22247,10936,24268,Football Bowl Subdivision,1,3
2015,University of California-Berkeley,1602721.759,1463312.9119999998,1281347.872,10040634.81,7690169.17,27174738.71,16637746.96,9808557.44,9668064.082,22857771.1,26022820.36,11094070.2,27496,13431,38139,Football Bowl Subdivision,3,78
2015,University of South Carolina,1064322.022,2805447.099,1342129.125,13875868.67,12295248.26,25674069.39,19237957.08,13212042.29,4195595.48,31603140.65,33543236.64,30336871.64,24941,11482,30298,Football Bowl Subdivision,3,118
2015,Louisiana State University and Agricultural & Mechanical College,590238.5792,3094012.233,1861111.9530000002,15708081.58,20550725.41,26580852.69,23549017.1,13438779.12,3357419.939,39969303.79,40146972.31,42363236.98,24904,9714,26877,Football Bowl Subdivision,3,68
2015,Mississippi State University,918961.0189,1967713.06,1153789.668,7762063.881,8457526.41,17470202.23,14763323.16,7796047.268999999,6790695.943,16936348.13,32349730.15,14831171.46,16712,7502,20142,Football Bowl Subdivision,1,2
2015,California State University-Long Beach,275832.5022,62932.048729999995,289973.6823,2017118.586,2819113.363,2467188.857,4598572.026000001,2652353.762,456905.4274,2875910.985,827715.2189,632212.5181,32025,6452,17612,No Football Subdivision,1,13
2015,Auburn University,891636.5933,3813850.45,2440567.1859999998,8479832.311,14300378.49,24279368.29,21387348.61,15133944.61,6139313.594,37471734.44,38797325.52,30562079.43,21551,10424,28040,Football Bowl Subdivision,2,39
2015,University of California-Los Angeles,432856.814,980971.5873,1275209.395,15304325.32,15775174.47,13584207.97,20263460.48,12751931.93,11529016.04,17062208.18,30816803.95,26485739.71,29581,12763,37471,Football Bowl Subdivision,3,84
2015,University of Houston,884919.9125,1698226.621,680475.8139,5383502.2,5419303.232999999,7644452.602999999,9965512.894,6371494.253,2360964.443,6489235.146000001,4228431.573,4337859.903,33300,8759,20519,Football Bowl Subdivision,1,10
2015,University of Minnesota-Twin Cities,981413.0878,3317089.4760000003,1809061.4740000002,13826866.16,19897318.84,28186160.67,17983399.99,9788190.697999999,8342357.561000001,20697782.55,34048823.57,23289433.03,30511,13790,22210,Football Bowl Subdivision,2,55
2015,Oklahoma State University,791174.9766,1282834.392,1064162.028,8376583.976,24221831.46,19737966.53,16068524.21,9440724.739,3791249.877,21894490.92,32096958.96,21392602.06,20805,7778,20978,Football Bowl Subdivision,2,44
2015,University of Georgia,2720644.5739999996,2567943.119,2403302.924,10052713.29,9771665.82,21966914.22,18880182.7,11470226.6,13190103.96,34316383.0,35443076.08,26407135.41,27335,11622,29832,Football Bowl Subdivision,3,71
2015,Florida State University,1708845.9230000002,1696189.2380000001,1762965.176,18336744.18,22875620.48,19086418.11,20163484.92,9279546.677000001,19340415.58,25584164.29,26861534.61,26499161.93,32229,6507,21673,Football Bowl Subdivision,3,66
2015,University of Arkansas,1399448.244,3391006.381,1761890.791,12160060.0,14605738.87,19324668.39,18343511.49,9337826.769,12162068.02,24701622.0,36302543.9,38096812.06,21815,8522,21826,Football Bowl Subdivision,3,63
2015,University of Colorado Boulder,785145.8620000001,454721.2151,916881.1059999999,7194636.499,7395601.25,15576890.11,13071821.32,9973741.41,4379560.436000001,10392735.51,25136640.75,11697846.44,26496,11091,34125,Football Bowl Subdivision,2,36
2015,University of Hawaii at Manoa,642257.6671,3095002.5710000005,559221.1437,5511162.677999999,4928212.908,7694761.382999999,6777959.261,9681494.405,4360381.492,4650546.558,5820708.199,6296501.95,13320,11164,31216,Football Bowl Subdivision,2,27
2015,University of Iowa,698105.4555,2368015.287,1630214.2780000002,10210079.87,14546655.78,32783905.39,18857696.55,11802742.3,9469585.303,25665669.74,34088430.01,26978278.08,21970,8104,27890,Football Bowl Subdivision,1,13
2015,University of Nebraska-Lincoln,875216.015,2542263.182,2258046.22,11945836.06,8944252.361,22261586.44,17198223.75,9882654.591,16032781.91,19902939.88,17201339.57,37080299.69,20182,8367,22534,Football Bowl Subdivision,3,85
2015,Texas A & M University,1034034.682,3698018.337,1515303.646,10692251.07,24320917.94,23309679.27,20046949.04,8111867.97,15059665.18,93224286.29,32398071.42,46403289.61,48707,10176,28768,Football Bowl Subdivision,2,37
2015,University of Wisconsin-Madison,2882713.738,2470934.522,1013492.757,13670243.86,11765134.76,31162505.93,18359143.24,12147869.12,6297427.481000001,23104220.53,41529824.79,28892861.21,29579,10415,29665,Football Bowl Subdivision,1,15
2015,University of North Carolina at Chapel Hill,2357906.3430000003,1911475.414,1480038.2869999998,8719880.995,10467958.69,19084521.48,14606526.69,13784077.07,2606203.796,20711522.73,30978978.43,20888797.33,17951,8591,33673,Football Bowl Subdivision,3,188
2015,Portland State University,423085.0712,62353.845089999995,191083.6453,2021355.371,1251651.9,1407335.509,2932330.901,4756272.765,257362.3894,552905.4587,544211.1392,227660.3418,19648,8034,24009,Football Championship Subdivision,1,3
